instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation,source_file
EQTL3,MULT3,1Year,1ms,pearson,4,0.9189398293724343,8.525036334991455,0.1120195388793945,2934890,1704767,2934890,1704767,4616285,,correlation_instrument_combinations_part_1_736973_backup.csv
PRIO3,RENT3,1Year,1S,kendall,10,-0.0529463840438968,15.772269248962402,1.0383765697479248,2583061,3085387,7811768,9197767,2257536,,correlation_instrument_combinations_part_1_736973_backup.csv
ENGI11,RDOR3,1Year,1T,pearson,5,0.96009823884047,5.327204942703247,0.0018718242645263,1490072,2306821,153297,153293,102409,,correlation_instrument_combinations_part_1_736973_backup.csv
ITUB4,MULT3,1Year,1ms,spearman,5,0.9111702109624688,12.891334533691406,1.753246784210205,4553920,1704767,4553920,1704767,6002014,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIN3,RENT3,1Year,1T,spearman,7,0.0796305808956386,6.89630937576294,0.5770719051361084,1433386,3085387,153293,153297,102404,,correlation_instrument_combinations_part_1_736973_backup.csv
BEEF3,ITUB4,1Year,1D,pearson,9,,8.837639093399048,,1994111,4553920,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBSE3,RADL3,1Year,1T,spearman,2,0.1993951827625439,7.235962867736816,0.6021575927734375,2027918,2764740,153297,153293,102538,,correlation_instrument_combinations_part_1_736973_backup.csv
SMFT3,USIM5,1Year,1D,spearman,7,,4.4596357345581055,,1640080,1588823,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
CPLE6,ITUB4,1Year,1S,pearson,3,0.9048541453305454,17.547237873077393,0.0505478382110595,3024581,4553920,9197789,7811389,2843464,,correlation_instrument_combinations_part_1_736973_backup.csv
MRVE3,RAIL3,1Year,1H,kendall,3,-0.2969633333255513,7.539538145065308,0.5669326782226562,1758559,3015133,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
PETR3,VALE3,1Year,1T,kendall,7,-0.1027907263587589,9.690545320510864,0.5866084098815918,2313747,4355401,130190,130190,88891,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,ENGI11,1Year,1H,kendall,9,0.5886687225557906,6.945696115493774,0.5558819770812988,3149833,1490072,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
HAPV3,SBSP3,1Year,1ms,kendall,9,0.5217325802851056,12.14260482788086,1.8687548637390137,3754418,2043096,3754418,2043096,5424296,,correlation_instrument_combinations_part_1_736973_backup.csv
ABEV3,SMFT3,1Year,1T,kendall,10,0.1423105394094011,9.30034351348877,0.5932924747467041,4486771,1640080,153297,153299,102628,,correlation_instrument_combinations_part_1_736973_backup.csv
CYRE3,RDOR3,1Year,1H,spearman,1,0.9258683672355188,6.42168664932251,0.5574901103973389,1990807,2306821,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
ABEV3,ELET3,1Year,1T,spearman,6,0.2029410527071409,11.196997880935667,0.5959267616271973,4486771,3059464,153297,153297,102517,,correlation_instrument_combinations_part_1_736973_backup.csv
CMIG4,RENT3,1Year,1ms,pearson,1,-0.0790825897379971,11.180495500564575,0.1437878608703613,3095210,3085387,3095210,3085387,6131843,,correlation_instrument_combinations_part_1_736973_backup.csv
VAMO3,VIVA3,1Year,1D,kendall,9,,4.84298038482666,,1938079,1574493,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
ASAI3,CSNA3,1Year,1H,pearson,5,-0.4931070700609167,6.674411296844482,0.0014955997467041,3149833,1753841,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
BBDC3,SMFT3,1Year,1ms,pearson,7,0.9017028260560044,5.992332220077515,0.0738935470581054,1739149,1640080,1739149,1640080,3366018,,correlation_instrument_combinations_part_1_736973_backup.csv
CSNA3,TOTS3,1Year,1ms,spearman,8,-0.466414606504806,7.215779542922974,1.1745412349700928,1753841,1702042,1753841,1702042,3433915,,correlation_instrument_combinations_part_1_736973_backup.csv
ENGI11,VAMO3,1Year,1S,spearman,5,-0.583007943414366,13.327965259552002,0.9071605205535888,1490072,1938079,9197810,9197783,1938223,,correlation_instrument_combinations_part_1_736973_backup.csv
CPLE6,CYRE3,1Year,1H,spearman,6,0.90442693321682,7.406036138534546,0.5777952671051025,3024581,1990807,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
PETR4,WEGE3,1Year,1D,kendall,9,,11.47949719429016,,5783697,2589087,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
POMO4,USIM5,1Year,1H,kendall,7,-0.4064518889520754,6.243300199508667,0.5534970760345459,2603793,1588823,2555,2170,1509,,correlation_instrument_combinations_part_1_736973_backup.csv
ENEV3,WEGE3,1Year,1D,spearman,7,,6.466800928115845,,2096459,2589087,0,0,0,,correlation_instrument_combinations_part_1_736973_backup.csv
BBSE3,CYRE3,1Year,1H,pearson,5,-0.4236604392118654,5.494932651519775,0.0009064674377441,2027918,1990807,2555,2555,1738,,correlation_instrument_combinations_part_1_736973_backup.csv
