instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
BRAV3,USIM5,1Year,1H,kendall,7,0.041480053460769516,6.17720103263855,0.6595251560211182,2211028,1588823,2555,2170,1509,
ASAI3,VBBR3,1Year,1D,spearman,9,0.5595975668387164,8.373918056488037,0.5697743892669678,3149833,2642833,261,261,249,
KLBN11,SMFT3,1Year,1S,spearman,7,-0.8078157422623324,13.314673662185669,0.8883490562438965,1706371,1640080,9197820,9197937,1826393,
MGLU3,VALE3,1Year,1H,kendall,10,0.1389707114633728,9.714840650558472,0.5880253314971924,2337273,4355401,2555,2170,1509,
MRVE3,SBSP3,1Year,1T,spearman,4,0.7154792363540846,5.87931489944458,0.5761022567749023,1758559,2043096,153297,153297,102467,
TOTS3,VBBR3,1Year,1S,kendall,1,0.5065193245967444,14.798336029052734,0.9701769351959229,1702042,2642833,9197563,9197570,2151474,
BEEF3,UGPA3,1Year,1H,spearman,2,0.6957973985352157,5.772345781326294,0.5597474575042725,1994111,1794061,2555,2170,1509,
PETR4,SUZB3,1Year,1ms,spearman,7,0.6708732319946938,16.476253986358643,2.1941885948181152,5783697,2157162,5783697,2157162,7907315,
ENGI11,TOTS3,1Year,1D,spearman,10,0.8995392679415827,4.974088907241821,0.5618119239807129,1490072,1702042,261,261,249,
BBSE3,BPAC11,1Year,1H,pearson,7,-0.6021497663782758,6.670566082000732,0.001676321029663086,2027918,2880579,2555,2555,1738,
CSNA3,ELET3,1Year,1S,pearson,8,-0.2920114873257973,14.222132444381714,0.03985762596130371,1753841,3059464,9197573,9197768,2218841,
ITSA4,RAIL3,1Year,1ms,spearman,7,-0.3039910750962138,13.872042655944824,1.7971487045288086,3800661,3015133,3800661,3015133,6282234,
CSAN3,UGPA3,1Year,1D,spearman,10,-0.4009837528287064,6.445125341415405,0.5557177066802979,2531894,1794061,222,222,216,
RADL3,SUZB3,1Year,1S,spearman,10,0.265711059361217,14.89643907546997,0.9296855926513672,2764740,2157162,9197565,7811772,2066306,
CMIN3,SUZB3,1Year,1D,kendall,1,-0.15516379676854253,5.423538446426392,0.557145357131958,1433386,2157162,261,222,216,
SUZB3,VAMO3,1Year,1ms,kendall,3,0.3055093395986542,8.362221240997314,1.3200833797454834,2157162,1938079,2157162,1938079,3829857,
GGBR4,USIM5,1Year,1T,kendall,10,0.07965139632245369,6.69218897819519,0.5767629146575928,2814658,1588823,153293,130197,88898,
BBDC4,RAIL3,1Year,1S,pearson,9,-0.474263947232437,17.90870714187622,0.051393985748291016,4490500,3015133,7811393,9197569,2854681,
CSNA3,RADL3,1Year,1D,spearman,7,0.5448461320535879,6.6896936893463135,0.5609352588653564,1753841,2764740,261,261,249,
ITSA4,POMO4,1Year,1H,kendall,7,0.3122573905746958,9.322265148162842,0.564063549041748,3800661,2603793,2170,2555,1509,
HAPV3,VIVA3,1Year,1T,spearman,8,0.8126503579742026,7.9141764640808105,0.6067476272583008,3754418,1574493,130197,153293,88922,
BBAS3,BBDC3,1Year,1T,pearson,3,-0.7535753001251566,9.282289505004883,0.002475261688232422,4920259,1739149,130197,153297,88976,
ITSA4,RENT3,1Year,1T,spearman,4,0.6816173017109269,10.085790872573853,0.5784156322479248,3800661,3085387,130197,153297,88932,
BBSE3,VIVT3,1Year,1ms,kendall,4,0.006791091246388278,8.646106243133545,1.4234552383422852,2027918,2100935,2027918,2100935,4077313,
