instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
B3SA3,BBAS3,1Year,1H,pearson,7,-0.35301065049105407,17.2641818523407,0.0018777847290039062,4557170,4920259,7423,7423,1509,
BBAS3,VALE3,1Year,1S,kendall,10,-0.06114472108318587,23.578868865966797,1.6019723415374756,4920259,4355401,26722569,26722193,3289114,
BBDC4,ITSA4,1Year,1H,kendall,8,0.7750056305545111,15.534946918487549,0.6788434982299805,4490500,3800661,7423,7423,1509,
ABEV3,VALE3,1Year,1T,pearson,4,-0.13726308828057698,16.01694631576538,0.002097606658935547,4486771,4355401,524577,445370,88916,
BBAS3,BBDC4,1Year,1H,spearman,5,-0.6140182982494427,17.604379177093506,0.6856143474578857,4920259,4490500,7423,7423,1509,
BBAS3,ITSA4,1Year,1ms,kendall,9,-0.2199353193810426,22.55904722213745,2.868809938430786,4920259,3800661,4920259,3800661,8579448,
HAPV3,PETR4,1Year,1ms,spearman,6,-0.5280798891475486,23.663310527801514,2.916663885116577,3754418,5783697,3754418,5783697,9449078,
B3SA3,BBDC4,1Year,1D,spearman,4,0.6308446147180088,16.970667362213135,0.6782922744750977,4557170,4490500,222,222,216,
BBAS3,ITUB4,1Year,1H,pearson,1,-0.6214888508210721,17.16378140449524,0.0011093616485595703,4920259,4553920,7423,7423,1509,
B3SA3,BBAS3,1Year,1D,kendall,6,-0.08006908779213993,17.829526901245117,0.6784632205963135,4557170,4920259,222,222,216,
B3SA3,BBDC4,1Year,1D,pearson,1,0.7230260516279964,16.325390100479126,0.0010035037994384766,4557170,4490500,222,222,216,
ABEV3,BBAS3,1Year,1S,pearson,2,0.09445236612927353,22.12119722366333,0.06798434257507324,4486771,4920259,31474570,26722569,3334451,
BBAS3,LREN3,1Year,1T,kendall,7,-0.34019883838166687,15.312076091766357,0.7069294452667236,4920259,3132116,445377,524573,88911,
ABEV3,ITUB4,1Year,1S,kendall,5,0.04134243543859782,22.744226455688477,1.4078049659729004,4486771,4553920,31474570,26722189,3104881,
BBAS3,PETR4,1Year,1T,kendall,6,0.3493403635337148,19.83929967880249,0.7035531997680664,4920259,5783697,445377,445377,88945,
