instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
RADL3,VIVT3,1Year,1S,kendall,10,0.46767813154348686,15.329597473144531,0.9933240413665771,2764740,2100935,9197565,9197775,2250066,
RAIZ4,VBBR3,1Year,1S,kendall,4,-0.3237179114533274,15.65384554862976,1.0210909843444824,2328423,2642833,9197779,9197570,2489862,
ASAI3,VBBR3,1Year,1ms,spearman,3,0.5407729998292972,11.921114921569824,1.6844704151153564,3149833,2642833,3149833,2642833,5742681,
ASAI3,LREN3,1Year,1T,kendall,8,0.5975291434771686,9.134391069412231,0.5850210189819336,3149833,3132116,153297,153293,102289,
BBDC4,MULT3,1Year,1H,pearson,4,0.9528305775335143,8.96817398071289,0.001054525375366211,4490500,1704767,2170,2555,1509,
COGN3,CYRE3,1Year,1T,pearson,3,0.9122631139062423,6.375044822692871,0.0017080307006835938,2640596,1990807,130197,153297,88941,
BRAV3,MRVE3,1Year,1T,kendall,8,-0.24853944655235777,6.189359188079834,0.5743694305419922,2211028,1758559,153297,153297,102343,
LREN3,RENT3,1Year,1T,spearman,7,0.673122365071653,9.205204963684082,0.5835707187652588,3132116,3085387,153293,153297,102264,
COGN3,PETR4,1Year,1T,spearman,1,-0.7469203166750765,12.121952056884766,0.5868921279907227,2640596,5783697,130197,130197,88902,
RENT3,VIVT3,1Year,1S,kendall,4,-0.4015599515050957,15.915517091751099,1.028031826019287,3085387,2100935,9197767,9197775,2325370,
ABEV3,SBSP3,1Year,1D,spearman,4,0.14529109972846446,9.748905181884766,0.5748386383056641,4486771,2043096,261,261,249,
CPLE6,MULT3,1Year,1T,spearman,9,0.8992469569867914,7.164137125015259,0.5846271514892578,3024581,1704767,153297,153297,102640,
MRVE3,RADL3,1Year,1S,spearman,8,-0.24946028498179051,14.810946702957153,0.9603500366210938,1758559,2764740,9197788,9197565,2331819,
B3SA3,SBSP3,1Year,1ms,spearman,2,0.6979303511650052,14.032320499420166,1.8151218891143799,4557170,2043096,4557170,2043096,6191060,
ASAI3,RAIZ4,1Year,1ms,kendall,10,-0.31303306388041463,11.269192695617676,1.6555263996124268,3149833,2328423,3149833,2328423,5430871,
BBDC4,CPLE6,1Year,1ms,pearson,1,0.9541595142497007,13.595706939697266,0.16556930541992188,4490500,3024581,4490500,3024581,6989299,
COGN3,GGBR4,1Year,1T,kendall,7,0.0018262734772947914,8.058347702026367,0.6011509895324707,2640596,2814658,130197,153293,88903,
BBDC3,HAPV3,1Year,1H,kendall,9,0.5670386923463606,8.021960735321045,0.569472074508667,1739149,3754418,2555,2170,1509,
CSAN3,USIM5,1Year,1D,spearman,1,0.5089044215369437,6.184735298156738,0.5642120838165283,2531894,1588823,222,222,216,
RDOR3,TOTS3,1Year,1T,pearson,7,0.8879766734045111,5.658996105194092,0.0018963813781738281,2306821,1702042,153293,153293,102437,
ASAI3,POMO4,1Year,1D,pearson,1,0.1048906005232999,7.826265573501587,0.0015292167663574219,3149833,2603793,261,261,249,
RAIZ4,SBSP3,1Year,1T,pearson,10,-0.8009958886930291,6.35606837272644,0.0019943714141845703,2328423,2043096,153297,153297,102577,
BRAV3,CXSE3,1Year,1T,spearman,9,-0.1955491909009985,6.236874103546143,0.595879077911377,2211028,1692802,153297,153297,102549,
BBDC4,SMFT3,1Year,1S,pearson,6,0.8863083008925196,15.843322038650513,0.04649925231933594,4490500,1640080,7811393,9197937,2594100,
BBAS3,VIVT3,1Year,1H,pearson,9,0.5656797646164274,9.744178295135498,0.0015680789947509766,4920259,2100935,2170,2555,1509,
BBDC3,PETR3,1Year,1T,kendall,1,-0.45797961343016547,6.249856233596802,0.5748059749603271,1739149,2313747,153297,130190,88934,
ITSA4,UGPA3,1Year,1S,pearson,1,0.6602359209096906,14.245734930038452,0.04313254356384277,3800661,1794061,7811781,7811515,2407624,
BEEF3,HAPV3,1Year,1H,spearman,2,0.1931159883727971,8.348287582397461,0.5777649879455566,1994111,3754418,2555,2170,1509,
SMFT3,TIMS3,1Year,1ms,pearson,5,0.8938777714745137,6.46116304397583,0.07924151420593262,1640080,2024239,1640080,2024239,3650689,
BBDC4,BBSE3,1Year,1T,pearson,10,-0.7728814112979374,9.161673545837402,0.002446413040161133,4490500,2027918,130190,153297,88973,
CMIG4,GGBR4,1Year,1S,kendall,4,0.4398280621355098,16.875378131866455,1.0877594947814941,3095210,2814658,9197779,9197570,2802435,
ALOS3,LREN3,1Year,1H,kendall,1,0.4234067148224084,6.969330549240112,0.565371036529541,1494794,3132116,2555,2555,1738,
PRIO3,RAIL3,1Year,1ms,spearman,10,0.185350158586384,11.28321385383606,1.5891695022583008,2583061,3015133,2583061,3015133,5087825,
MRVE3,VBBR3,1Year,1H,kendall,7,0.6440269913193102,6.550095796585083,0.5609340667724609,1758559,2642833,2555,2555,1738,
BBSE3,HAPV3,1Year,1D,kendall,6,-0.5512943471479284,8.290927410125732,0.5738294124603271,2027918,3754418,261,222,216,
KLBN11,PRIO3,1Year,1D,pearson,9,0.3720187403963514,5.902029991149902,0.001554727554321289,1706371,2583061,261,222,216,
MGLU3,VIVT3,1Year,1T,pearson,9,-0.23604214915212035,6.168501138687134,0.0018224716186523438,2337273,2100935,153293,153297,102399,
CMIG4,CYRE3,1Year,1ms,pearson,3,-0.1722803434038559,9.084905624389648,0.1203618049621582,3095210,1990807,3095210,1990807,5064296,
BPAC11,HAPV3,1Year,1ms,kendall,1,0.5810672960431941,13.5122971534729,1.9439282417297363,2880579,3754418,2880579,3754418,6190770,
CXSE3,RENT3,1Year,1ms,spearman,7,-0.012138924417226093,9.903501033782959,1.531393051147461,1692802,3085387,1692802,3085387,4756287,
HAPV3,VIVT3,1Year,1D,spearman,4,-0.3616313998595963,8.535689353942871,0.5710012912750244,3754418,2100935,222,261,216,
CXSE3,EQTL3,1Year,1S,spearman,7,-0.026253581139478975,15.006250619888306,0.9483566284179688,1692802,2934890,9197780,9197573,2254657,
BPAC11,RAIZ4,1Year,1S,pearson,6,-0.8190704186218281,15.056442499160767,0.04491591453552246,2880579,2328423,9197569,9197779,2523578,
BBSE3,EQTL3,1Year,1H,spearman,3,-0.3843378862237403,7.279442548751831,0.578193187713623,2027918,2934890,2555,2555,1738,
ITSA4,VIVA3,1Year,1D,spearman,1,0.8923893984400427,7.890255689620972,0.582874059677124,3800661,1574493,222,261,216,
HAPV3,VBBR3,1Year,1H,kendall,10,0.6251098284261265,9.258707523345947,0.5733006000518799,3754418,2642833,2170,2555,1509,
LREN3,RAIZ4,1Year,1ms,spearman,6,-0.1600789113584678,11.32496166229248,1.625554084777832,3132116,2328423,3132116,2328423,5420036,
PRIO3,SUZB3,1Year,1S,pearson,5,0.39368480580729154,13.042918682098389,0.03459978103637695,2583061,2157162,7811768,7811772,2047014,
PETR4,POMO4,1Year,1T,pearson,2,-0.2298382087697021,11.758977174758911,0.002381563186645508,5783697,2603793,130197,153297,88937,
ALOS3,SUZB3,1Year,1ms,spearman,9,-0.7439475977915901,7.610419750213623,1.2076318264007568,1494794,2157162,1494794,2157162,3372222,
ELET3,UGPA3,1Year,1H,pearson,10,0.9018774737879621,6.63770055770874,0.0015993118286132812,3059464,1794061,2555,2170,1509,
MRVE3,MULT3,1Year,1D,pearson,9,0.7909774452044435,4.730615615844727,0.0008776187896728516,1758559,1704767,261,261,249,
BBDC4,BBSE3,1Year,1D,spearman,6,-0.7389231956975296,9.68618369102478,0.5790748596191406,4490500,2027918,222,261,216,
ENGI11,PRIO3,1Year,1H,pearson,4,-0.20554912623186167,5.578885555267334,0.0015687942504882812,1490072,2583061,2555,2170,1509,
HAPV3,MRVE3,1Year,1D,pearson,3,0.7952961304724906,7.45235276222229,0.0009944438934326172,3754418,1758559,222,261,216,
BEEF3,PETR4,1Year,1H,kendall,6,-0.3771415365918111,11.198403120040894,0.5915236473083496,1994111,5783697,2555,2170,1509,
ENGI11,SUZB3,1Year,1D,kendall,10,-0.5533693953766744,5.568593978881836,0.5564117431640625,1490072,2157162,261,222,216,
MGLU3,TOTS3,1Year,1T,pearson,9,0.2859585027842256,5.855273485183716,0.001894235610961914,2337273,1702042,153293,153293,102371,
CMIN3,CSAN3,1Year,1ms,pearson,5,0.043000522790839206,6.8275206089019775,0.0814981460571289,1433386,2531894,1433386,2531894,3710766,
EQTL3,VIVT3,1Year,1D,kendall,1,-0.38918517722706497,7.467766523361206,0.5736663341522217,2934890,2100935,261,261,249,
CYRE3,PRIO3,1Year,1T,kendall,1,-0.21513448334377322,6.981063604354858,0.580897331237793,1990807,2583061,153297,130197,88912,
KLBN11,MGLU3,1Year,1H,spearman,1,-0.3240712993603195,6.215518951416016,0.5710289478302002,1706371,2337273,2555,2555,1738,
COGN3,TOTS3,1Year,1S,pearson,1,0.9202475536057779,13.151772260665894,0.038552284240722656,2640596,1702042,7811757,9197563,2189365,
BBSE3,USIM5,1Year,1S,pearson,9,0.7443693543819087,12.055665731430054,0.03232216835021973,2027918,1588823,9197816,7811775,1830954,
ABEV3,VBBR3,1Year,1T,spearman,1,0.02089859434509437,10.672502994537354,0.5970335006713867,4486771,2642833,153297,153293,102521,
RAIL3,TOTS3,1Year,1S,spearman,6,-0.5573651123487159,15.518359661102295,0.9661953449249268,3015133,1702042,9197569,9197563,2329140,
B3SA3,RAIZ4,1Year,1T,pearson,2,-0.2457233570468355,9.722040176391602,0.0023658275604248047,4557170,2328423,130190,153297,88902,
