instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
ITSA4,VALE3,1Year,1ms,pearson,4,0.344512297910729,14.881523132324219,0.1870417594909668,3800661,4355401,3800661,4355401,8004099,
HAPV3,PETR4,1Year,1T,pearson,9,-0.6212909072857556,13.734160900115967,0.001705169677734375,3754418,5783697,445377,445377,88902,
ABEV3,BBDC4,1Year,1S,pearson,1,0.23813258441536744,17.421553134918213,0.05466437339782715,4486771,4490500,31474570,26722193,3112482,
B3SA3,LREN3,1Year,1H,kendall,8,0.6449696969381897,11.828143835067749,0.5668485164642334,4557170,3132116,7423,8743,1509,
BBDC4,VALE3,1Year,1T,pearson,7,0.45380257176035144,12.922205924987793,0.0018205642700195312,4490500,4355401,445370,445370,88890,
BBDC4,ITUB4,1Year,1S,spearman,2,0.8905094444889169,18.37613010406494,1.1282291412353516,4490500,4553920,26722193,26722189,3165415,
BBAS3,BBDC4,1Year,1D,pearson,1,-0.7706146988926041,13.693679571151733,0.0009596347808837891,4920259,4490500,222,222,216,
ABEV3,LREN3,1Year,1T,kendall,3,0.28561311973323655,12.028616905212402,0.5882489681243896,4486771,3132116,524577,524573,102421,
ABEV3,HAPV3,1Year,1S,pearson,4,-0.014878644844956605,16.13390612602234,0.05306053161621094,4486771,3754418,31474570,26722562,3019281,
B3SA3,VALE3,1Year,1ms,spearman,1,0.05282673205636974,18.802566051483154,2.334345817565918,4557170,4355401,4557170,4355401,8757378,
BBAS3,BBDC4,1Year,1S,spearman,3,-0.6080363411254314,20.101566791534424,1.1704144477844238,4920259,4490500,26722569,26722193,3376625,
ABEV3,ITSA4,1Year,1H,spearman,10,0.22236589752707622,12.739771842956543,0.5874171257019043,4486771,3800661,8743,7423,1509,
BBAS3,LREN3,1Year,1ms,kendall,2,-0.31738514786394634,16.541186094284058,2.2720212936401367,4920259,3132116,4920259,3132116,7592045,
B3SA3,ITUB4,1Year,1H,kendall,10,0.45307671668022775,13.869141101837158,0.5601756572723389,4557170,4553920,7423,7423,1509,
BBAS3,HAPV3,1Year,1H,kendall,4,-0.4801469001579443,13.062384843826294,0.5984251499176025,4920259,3754418,7423,7423,1509,
BBAS3,BBDC4,1Year,1ms,kendall,7,-0.33148849199179137,19.906495571136475,2.570675849914551,4920259,4490500,4920259,4490500,9244590,
