instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
HAPV3,ITUB4,1Year,1S,spearman,6,0.8045057092911869,17.30448007583618,1.1631019115447998,3754418,4553920,26722562,26722189,3077800,
ITUB4,VALE3,1Year,1S,pearson,4,0.4420826878079425,17.193103075027466,0.05178356170654297,4553920,4355401,26722189,26722193,3050983,
BBAS3,ITUB4,1Year,1T,spearman,4,-0.5217529317447233,14.504512548446655,0.5938382148742676,4920259,4553920,445377,445370,88918,
ITUB4,VALE3,1Year,1T,pearson,3,0.4451122445823587,13.068076848983765,0.0019116401672363281,4553920,4355401,445370,445370,88862,
B3SA3,LREN3,1Year,1ms,pearson,3,0.8066101316675826,13.967373371124268,0.1699845790863037,4557170,3132116,4557170,3132116,7219974,
ABEV3,ITSA4,1Year,1S,pearson,3,0.3594849477048606,16.3110134601593,0.05274200439453125,4486771,3800661,31474570,26722581,2976320,
B3SA3,VALE3,1Year,1H,pearson,4,0.08068576039813961,13.103428602218628,0.0009686946868896484,4557170,4355401,7423,7423,1509,
BBAS3,BBDC4,1Year,1H,spearman,6,-0.6140182982494427,14.316389560699463,0.5626285076141357,4920259,4490500,7423,7423,1509,
HAPV3,LREN3,1Year,1T,spearman,5,0.7434658908342167,10.756952047348022,0.6074442863464355,3754418,3132116,445377,524573,88766,
BBDC4,VALE3,1Year,1S,spearman,7,0.4150955189059324,17.70942449569702,1.1021440029144287,4490500,4355401,26722193,26722193,3071858,
HAPV3,PETR4,1Year,1ms,pearson,2,-0.5772016504361175,17.615655183792114,0.2228231430053711,3754418,5783697,3754418,5783697,9449078,
HAPV3,LREN3,1Year,1T,pearson,7,0.6075755961181685,9.815637111663818,0.0018744468688964844,3754418,3132116,445377,524573,88766,
B3SA3,PETR4,1Year,1T,spearman,5,-0.4942965092247967,15.861469745635986,0.5812511444091797,4557170,5783697,445370,445377,88897,
HAPV3,VALE3,1Year,1T,pearson,9,0.2878610044350384,11.629063844680786,0.0018084049224853516,3754418,4355401,445377,445370,88873,
BBDC4,HAPV3,1Year,1ms,kendall,10,0.6368225397396872,17.503725051879883,2.2765650749206543,4490500,3754418,4490500,3754418,8138109,
BBDC4,ITSA4,1Year,1D,kendall,4,0.7737522762837471,13.526084661483765,0.5728719234466553,4490500,3800661,222,222,216,
HAPV3,ITSA4,1Year,1T,kendall,1,0.5025162351471885,11.361242294311523,0.5860531330108643,3754418,3800661,445377,445377,88941,
BBDC4,PETR4,1Year,1ms,kendall,2,-0.45350543377147207,21.97011160850525,2.834371566772461,4490500,5783697,4490500,5783697,10122022,
B3SA3,BBAS3,1Year,1D,spearman,5,-0.24465321518790342,14.868306159973145,0.5765285491943359,4557170,4920259,222,222,216,
B3SA3,VALE3,1Year,1ms,pearson,2,0.0960484803347808,16.6242573261261,0.2070021629333496,4557170,4355401,4557170,4355401,8757378,
BBDC4,ITSA4,1Year,1D,pearson,5,0.9457873589643353,12.106321573257446,0.0009775161743164062,4490500,3800661,222,222,216,
ABEV3,VALE3,1Year,1S,pearson,3,-0.1276974309629014,17.261582136154175,0.05375170707702637,4486771,4355401,31474570,26722193,3001853,
BBAS3,BBDC4,1Year,1H,spearman,2,-0.6140182982494427,14.35862946510315,0.5761175155639648,4920259,4490500,7423,7423,1509,
BBAS3,HAPV3,1Year,1H,spearman,8,-0.7393017641962304,13.56662631034851,0.557753324508667,4920259,3754418,7423,7423,1509,
ITUB4,VALE3,1Year,1ms,kendall,1,0.2407161696774616,18.99982476234436,2.6526546478271484,4553920,4355401,4553920,4355401,8737032,
ITSA4,ITUB4,1Year,1H,kendall,6,0.8605118841143394,12.515451908111572,0.5679266452789307,3800661,4553920,7423,7423,1509,
BBDC4,LREN3,1Year,1H,kendall,4,0.4193918591262535,11.794574975967407,0.597369909286499,4490500,3132116,7423,8743,1509,
HAPV3,PETR4,1Year,1T,kendall,3,-0.3160565149864055,14.108874559402466,0.5834231376647949,3754418,5783697,445377,445377,88902,
BBAS3,ITUB4,1Year,1T,pearson,2,-0.6216970018150582,13.907306432723999,0.0024824142456054688,4920259,4553920,445377,445370,88918,
ITSA4,VALE3,1Year,1T,pearson,7,0.3984289853949777,11.767811059951782,0.0024640560150146484,3800661,4355401,445377,445370,88936,
PETR4,VALE3,1Year,1T,kendall,7,-0.09038832541798453,15.435540914535522,0.58799147605896,5783697,4355401,445377,445370,88869,
B3SA3,HAPV3,1Year,1T,spearman,6,0.5771081674981431,12.760008811950684,0.5816690921783447,4557170,3754418,445370,445377,88791,
BBAS3,HAPV3,1Year,1D,pearson,4,-0.8897004573025133,12.563348293304443,0.0015704631805419922,4920259,3754418,222,222,216,
HAPV3,VALE3,1Year,1S,kendall,2,0.09620435469716791,17.018948554992676,1.1724469661712646,3754418,4355401,26722562,26722193,2963254,
HAPV3,VALE3,1Year,1ms,spearman,2,0.12368574261949823,16.88224220275879,2.1857783794403076,3754418,4355401,3754418,4355401,8025484,
B3SA3,VALE3,1Year,1T,kendall,6,0.027089608266970322,13.700948238372803,0.5990049839019775,4557170,4355401,445370,445370,88861,
BBAS3,BBDC4,1Year,1ms,kendall,5,-0.33148849199179137,19.918285608291626,2.5614986419677734,4920259,4490500,4920259,4490500,9244590,
ITSA4,PETR4,1Year,1D,kendall,2,-0.467223070983361,14.236448764801025,0.5773036479949951,3800661,5783697,222,222,216,
ITUB4,VALE3,1Year,1H,pearson,4,0.4448680091821299,13.036460876464844,0.0010118484497070312,4553920,4355401,7423,7423,1509,
ABEV3,ITSA4,1Year,1H,kendall,8,0.1404529885507619,12.670989274978638,0.5678741931915283,4486771,3800661,8743,7423,1509,
