instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
BRAV3,USIM5,1Year,1H,kendall,7,0.041480053460769516,5.9247448444366455,0.6379146575927734,2211028,1588823,2555,2170,1509,
ASAI3,VBBR3,1Year,1D,spearman,9,,7.852113246917725,,3149833,2642833,0,0,0,
KLBN11,SMFT3,1Year,1S,spearman,7,-0.8078157422623324,13.394153833389282,0.8789248466491699,1706371,1640080,9197820,9197937,1826393,
MGLU3,VALE3,1Year,1H,kendall,10,0.1389707114633728,9.618175983428955,0.5913293361663818,2337273,4355401,2555,2170,1509,
MRVE3,SBSP3,1Year,1T,spearman,4,0.7154792363540846,5.920572996139526,0.5777270793914795,1758559,2043096,153297,153297,102467,
TOTS3,VBBR3,1Year,1S,kendall,1,0.5065193245967444,14.494140863418579,0.9944314956665039,1702042,2642833,9197563,9197570,2151474,
BEEF3,UGPA3,1Year,1H,spearman,2,0.6957973985352157,5.772512674331665,0.555279016494751,1994111,1794061,2555,2170,1509,
PETR4,SUZB3,1Year,1ms,spearman,7,0.6708732319946938,16.360242128372192,2.1467998027801514,5783697,2157162,5783697,2157162,7907315,
ENGI11,TOTS3,1Year,1D,spearman,10,,4.409005641937256,,1490072,1702042,0,0,0,
BBSE3,BPAC11,1Year,1H,pearson,7,-0.6021497663782758,6.694514036178589,0.0015676021575927734,2027918,2880579,2555,2555,1738,
CSNA3,ELET3,1Year,1S,pearson,8,-0.2920114873257973,14.27907395362854,0.03938412666320801,1753841,3059464,9197573,9197768,2218841,
ITSA4,RAIL3,1Year,1ms,spearman,7,-0.3039910750962138,13.800816774368286,1.8079893589019775,3800661,3015133,3800661,3015133,6282234,
CSAN3,UGPA3,1Year,1D,spearman,10,,5.90595269203186,,2531894,1794061,0,0,0,
RADL3,SUZB3,1Year,1S,spearman,10,0.265711059361217,14.831589937210083,0.9273769855499268,2764740,2157162,9197565,7811772,2066306,
CMIN3,SUZB3,1Year,1D,kendall,1,,4.86115574836731,,1433386,2157162,0,0,0,
SUZB3,VAMO3,1Year,1ms,kendall,3,0.3055093395986542,8.57812762260437,1.3377573490142822,2157162,1938079,2157162,1938079,3829857,
GGBR4,USIM5,1Year,1T,kendall,10,0.07965139632245369,6.713133335113525,0.5748608112335205,2814658,1588823,153293,130197,88898,
BBDC4,RAIL3,1Year,1S,pearson,9,-0.474263947232437,17.667495489120483,0.05031394958496094,4490500,3015133,7811393,9197569,2854681,
CSNA3,RADL3,1Year,1D,spearman,7,,6.1424925327301025,,1753841,2764740,0,0,0,
ITSA4,POMO4,1Year,1H,kendall,7,0.3122573905746958,9.20114278793335,0.5606667995452881,3800661,2603793,2170,2555,1509,
HAPV3,VIVA3,1Year,1T,spearman,8,0.8126503579742026,7.923103094100952,0.6081771850585938,3754418,1574493,130197,153293,88922,
BBAS3,BBDC3,1Year,1T,pearson,3,-0.7535753001251566,9.276082038879395,0.002445697784423828,4920259,1739149,130197,153297,88976,
ITSA4,RENT3,1Year,1T,spearman,4,0.6816173017109269,9.938232421875,0.5692193508148193,3800661,3085387,130197,153297,88932,
BBSE3,VIVT3,1Year,1ms,kendall,4,0.006791091246388278,8.638806343078613,1.4299218654632568,2027918,2100935,2027918,2100935,4077313,
ENGI11,MRVE3,1Year,1ms,pearson,7,0.7396957830826805,5.732984781265259,0.07157111167907715,1490072,1758559,1490072,1758559,3238946,
