instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
PETR3,VIVA3,1Year,1ms,spearman,4,-0.6571822338753988,7.947113752365112,1.3188707828521729,2313747,1574493,2313747,1574493,3661301,
ASAI3,VIVA3,1Year,1H,kendall,8,0.42489204792075064,7.07042932510376,0.5864591598510742,3149833,1574493,2555,2555,1738,
POMO4,RADL3,1Year,1D,spearman,1,,7.268952369689941,,2603793,2764740,0,0,0,
EQTL3,VALE3,1Year,1S,spearman,9,0.277939379277067,17.878586530685425,1.0380256175994873,2934890,4355401,9197573,7811393,2607246,
BBSE3,ITUB4,1Year,1S,kendall,9,-0.4535647243006109,17.030412197113037,1.0998449325561523,2027918,4553920,9197816,7811389,2624826,
ASAI3,MRVE3,1Year,1T,kendall,8,0.34433867401915313,7.391918182373047,0.5742309093475342,3149833,1758559,153297,153297,102393,
BBDC4,RENT3,1Year,1H,kendall,6,0.463695405748024,11.120496988296509,0.5849742889404297,4490500,3085387,2170,2555,1509,
PRIO3,TOTS3,1Year,1S,pearson,1,-0.024242597985244245,13.276837587356567,0.03583264350891113,2583061,1702042,7811768,9197563,1919251,
CXSE3,UGPA3,1Year,1T,spearman,5,0.07250954070559723,5.49542760848999,0.5700249671936035,1692802,1794061,153297,130192,89016,
PRIO3,VALE3,1Year,1ms,spearman,2,-0.2380559474982224,14.349536418914795,1.972827434539795,2583061,4355401,2583061,4355401,6892273,
MGLU3,USIM5,1Year,1T,kendall,1,0.1430569228471878,6.058719635009766,0.5841760635375977,2337273,1588823,153293,130197,88850,
BEEF3,VBBR3,1Year,1D,spearman,6,,6.300718784332275,,1994111,2642833,0,0,0,
ENGI11,MULT3,1Year,1D,kendall,10,,4.41327166557312,,1490072,1704767,0,0,0,
ASAI3,SBSP3,1Year,1S,pearson,5,0.7654095452990891,14.742762565612793,0.04313230514526367,3149833,2043096,9197785,9197778,2440512,
ASAI3,CMIN3,1Year,1S,spearman,1,-0.26068008103546353,14.911317586898804,0.9740371704101562,3149833,1433386,9197785,9197565,2366208,
CSAN3,EQTL3,1Year,1S,spearman,4,-0.21052128803875894,15.68410325050354,0.9785456657409668,2531894,2934890,7811390,9197573,2334421,
MULT3,VIVA3,1Year,1S,kendall,4,0.7319645557419269,13.070001125335693,0.9082262516021729,1704767,1574493,9197819,9197570,1688387,
ENEV3,SBSP3,1Year,1ms,spearman,6,0.9570072613223906,8.467182397842407,1.2435598373413086,2096459,2043096,2096459,2043096,3759409,
USIM5,VBBR3,1Year,1S,spearman,5,-0.6067506735062497,13.815121173858643,0.9337944984436035,1588823,2642833,7811775,9197570,1995524,
COGN3,ELET3,1Year,1T,pearson,3,0.793366377598328,7.816606760025024,0.001718282699584961,2640596,3059464,130197,153297,88941,
BRAV3,SMFT3,1Year,1T,spearman,7,-0.5416726675482658,5.991279363632202,0.583324670791626,2211028,1640080,153297,153299,102530,
B3SA3,BBAS3,1Year,1T,kendall,9,-0.08539220718422075,13.950809240341187,0.5903656482696533,4557170,4920259,130190,130197,88916,
RAIL3,UGPA3,1Year,1T,pearson,7,-0.6595806892481375,6.711204528808594,0.0024013519287109375,3015133,1794061,153293,130192,88877,
CMIG4,GGBR4,1Year,1D,kendall,4,,8.129465579986572,,3095210,2814658,0,0,0,
B3SA3,BBDC4,1Year,1S,kendall,10,0.47618495378203124,21.548006534576416,1.1558778285980225,4557170,4490500,7811393,7811393,3266067,
ASAI3,BPAC11,1Year,1ms,spearman,8,0.7681322398345799,12.403205633163452,1.7415761947631836,3149833,2880579,3149833,2880579,5986944,
ALOS3,HYPE3,1Year,1T,pearson,10,0.6505257798427059,4.16595196723938,0.0018377304077148438,1494794,1465959,153297,153293,102561,
CSAN3,USIM5,1Year,1D,spearman,6,,5.621608018875122,,2531894,1588823,0,0,0,
GGBR4,RADL3,1Year,1T,spearman,9,0.570909933990849,8.292402029037476,0.5890700817108154,2814658,2764740,153293,153293,102388,
B3SA3,ELET3,1Year,1S,kendall,2,0.32984183842848663,18.921427726745605,1.12064790725708,4557170,3059464,7811393,9197768,2836891,
