instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
CYRE3,RAIZ4,1Year,1D,pearson,1,,5.9068310260772705,,1990807,2328423,0,0,0,
HYPE3,ITUB4,1Year,1T,spearman,4,0.6007468320893523,9.012108564376831,0.6651251316070557,1465959,4553920,153293,130190,88954,
CSAN3,SMFT3,1Year,1S,spearman,10,-0.2702911998272165,13.744154453277588,0.9276218414306641,2531894,1640080,7811390,9197937,2068477,
B3SA3,CYRE3,1Year,1D,spearman,7,,9.339601278305054,,4557170,1990807,0,0,0,
BRAV3,CSNA3,1Year,1ms,spearman,7,-0.004391341758606948,8.25229525566101,1.302919626235962,2211028,1753841,2211028,1753841,3927212,
CYRE3,RAIL3,1Year,1D,pearson,2,,6.877229928970337,,1990807,3015133,0,0,0,
ENEV3,RAIL3,1Year,1T,kendall,10,-0.2906827958602293,7.654019355773926,0.5982639789581299,2096459,3015133,130190,153293,88893,
ASAI3,CXSE3,1Year,1ms,pearson,3,-0.25849031900138314,8.605287075042725,0.11348581314086914,3149833,1692802,3149833,1692802,4791608,
BBDC3,TOTS3,1Year,1D,pearson,10,,4.800033807754517,,1739149,1702042,0,0,0,
BBSE3,RENT3,1Year,1ms,spearman,3,-0.19376928851386832,10.659864664077759,1.6008307933807373,2027918,3085387,2027918,3085387,5078178,
RAIL3,SBSP3,1Year,1T,spearman,1,-0.5281661911237222,7.7280919551849365,0.5933151245117188,3015133,2043096,153293,153297,102465,
ASAI3,HAPV3,1Year,1S,pearson,7,0.5870700774044774,16.493919372558594,0.04878354072570801,3149833,3754418,9197785,7811762,2752942,
ASAI3,CMIG4,1Year,1T,pearson,6,-0.31824681183950193,8.612855195999146,0.002535104751586914,3149833,3095210,153297,153297,102534,
ASAI3,COGN3,1Year,1S,spearman,7,0.6374699374530269,15.951016902923584,1.017749309539795,3149833,2640596,9197785,7811757,2570976,
COGN3,RAIZ4,1Year,1T,spearman,4,-0.6614480653824182,7.473972797393799,0.5792303085327148,2640596,2328423,130197,153297,88976,
ALOS3,HYPE3,1Year,1T,pearson,5,0.6505257798427059,4.227231025695801,0.0017745494842529297,1494794,1465959,153297,153293,102561,
CYRE3,MRVE3,1Year,1H,kendall,6,0.5185181667029775,5.667774677276611,0.5544345378875732,1990807,1758559,2555,2555,1738,
RAIL3,RDOR3,1Year,1T,kendall,10,-0.319480789518128,8.038779735565186,0.5921542644500732,3015133,2306821,153293,153293,102428,
BPAC11,PETR3,1Year,1T,kendall,6,-0.499058755583134,7.955848455429077,0.591639518737793,2880579,2313747,153293,130190,88913,
PETR3,POMO4,1Year,1S,spearman,2,-0.11755313226354544,14.86801528930664,0.9628961086273193,2313747,2603793,7811392,9197778,2164181,
