instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
B3SA3,PETR3,1Year,1S,pearson,6,-0.6905786881324721,16.242876529693604,0.04879164695739746,4557170,2313747,7811393,7811392,2742092,
HYPE3,VALE3,1Year,1T,kendall,8,0.002094092487998904,8.69795536994934,0.6623475551605225,1465959,4355401,153293,130190,88956,
ABEV3,ITUB4,1Year,1D,pearson,3,,12.95677375793457,,4486771,4553920,0,0,0,
CSNA3,ITUB4,1Year,1T,pearson,10,-0.2613136169179563,8.611027479171753,0.0023746490478515625,1753841,4553920,153293,130190,88873,
BRAV3,HYPE3,1Year,1D,kendall,3,,5.126324653625488,,2211028,1465959,0,0,0,
EQTL3,GGBR4,1Year,1ms,spearman,9,-0.3971777557614607,11.89883017539978,1.7174968719482422,2934890,2814658,2934890,2814658,5684366,
VIVA3,VIVT3,1Year,1D,spearman,9,,5.054480791091919,,1574493,2100935,0,0,0,
BBDC4,USIM5,1Year,1D,pearson,4,,8.538097858428955,,4490500,1588823,0,0,0,
ALOS3,SUZB3,1Year,1T,kendall,4,-0.5475637604273265,5.675543785095215,0.5787820816040039,1494794,2157162,153297,130197,89012,
MRVE3,VIVT3,1Year,1ms,spearman,8,-0.2268565356862894,8.313105344772339,1.2638823986053467,1758559,2100935,1758559,2100935,3848532,
BBDC3,VBBR3,1Year,1ms,pearson,9,0.854624987969547,7.815416574478149,0.10304498672485352,1739149,2642833,1739149,2642833,4330135,
CMIN3,CYRE3,1Year,1D,pearson,4,,4.695237398147583,,1433386,1990807,0,0,0,
LREN3,USIM5,1Year,1S,pearson,3,-0.6236377081175295,14.108037233352661,0.040557861328125,3132116,1588823,9197573,7811775,2205009,
HYPE3,VIVA3,1Year,1S,spearman,5,0.6915912718078954,12.664976358413696,0.8408598899841309,1465959,1574493,9197562,9197570,1626841,
TOTS3,VIVA3,1Year,1D,spearman,3,,4.530828952789307,,1702042,1574493,0,0,0,
BRAV3,CYRE3,1Year,1ms,pearson,8,-0.6836027629028991,7.514511823654175,0.09225034713745117,2211028,1990807,2211028,1990807,4170155,
ASAI3,CMIN3,1Year,1H,pearson,5,-0.18996435403105,6.217475175857544,0.0009286403656005859,3149833,1433386,2555,2555,1738,
HYPE3,PRIO3,1Year,1H,pearson,8,0.27855622522427986,5.518261432647705,0.00153350830078125,1465959,2583061,2555,2170,1509,
SMFT3,VBBR3,1Year,1D,spearman,8,,5.792370080947876,,1640080,2642833,0,0,0,
CSAN3,SBSP3,1Year,1S,spearman,7,-0.4226122041465392,15.061648607254028,0.924468994140625,2531894,2043096,7811390,9197778,2042896,
BBDC3,VAMO3,1Year,1ms,kendall,7,-0.3386361940075506,7.675541639328003,1.2437283992767334,1739149,1938079,1739149,1938079,3656115,
PETR3,RENT3,1Year,1T,pearson,8,-0.7288103713039364,7.754424810409546,0.0017981529235839844,2313747,3085387,130190,153297,88808,
CSAN3,RDOR3,1Year,1ms,spearman,8,-0.48771470476691764,9.800159692764282,1.4394514560699463,2531894,2306821,2531894,2306821,4446782,
BBDC3,WEGE3,1Year,1D,pearson,3,,5.910589694976807,,1739149,2589087,0,0,0,
BBDC4,ITUB4,1Year,1D,pearson,9,,12.64645004272461,,4490500,4553920,0,0,0,
CMIG4,RAIL3,1Year,1H,spearman,4,0.15226223239944484,8.905476808547974,0.5821812152862549,3095210,3015133,2555,2555,1738,
CPLE6,USIM5,1Year,1D,spearman,6,,6.309882402420044,,3024581,1588823,0,0,0,
PETR3,VAMO3,1Year,1D,spearman,7,,6.012085437774658,,2313747,1938079,0,0,0,
MULT3,TOTS3,1Year,1H,kendall,3,0.6585086647145594,5.260547637939453,0.561983585357666,1704767,1702042,2555,2555,1738,
MGLU3,VIVA3,1Year,1T,pearson,1,0.20161825858369664,5.493443727493286,0.001768350601196289,2337273,1574493,153293,153293,102447,
EQTL3,MULT3,1Year,1ms,pearson,4,0.9189398293724343,8.525036334991455,0.11201953887939453,2934890,1704767,2934890,1704767,4616285,
PRIO3,RENT3,1Year,1S,kendall,10,-0.05294638404389683,15.772269248962402,1.0383765697479248,2583061,3085387,7811768,9197767,2257536,
ENGI11,RDOR3,1Year,1T,pearson,5,0.9600982388404699,5.327204942703247,0.0018718242645263672,1490072,2306821,153297,153293,102409,
ITUB4,MULT3,1Year,1ms,spearman,5,0.9111702109624688,12.891334533691406,1.753246784210205,4553920,1704767,4553920,1704767,6002014,
CMIN3,RENT3,1Year,1T,spearman,7,0.0796305808956386,6.8963093757629395,0.5770719051361084,1433386,3085387,153293,153297,102404,
BEEF3,ITUB4,1Year,1D,pearson,9,,8.837639093399048,,1994111,4553920,0,0,0,
BBSE3,RADL3,1Year,1T,spearman,2,0.19939518276254392,7.235962867736816,0.6021575927734375,2027918,2764740,153297,153293,102538,
SMFT3,USIM5,1Year,1D,spearman,7,,4.4596357345581055,,1640080,1588823,0,0,0,
CPLE6,ITUB4,1Year,1S,pearson,3,0.9048541453305454,17.547237873077393,0.05054783821105957,3024581,4553920,9197789,7811389,2843464,
MRVE3,RAIL3,1Year,1H,kendall,3,-0.29696333332555136,7.539538145065308,0.5669326782226562,1758559,3015133,2555,2555,1738,
PETR3,VALE3,1Year,1T,kendall,7,-0.10279072635875894,9.690545320510864,0.5866084098815918,2313747,4355401,130190,130190,88891,
ASAI3,ENGI11,1Year,1H,kendall,9,0.5886687225557906,6.945696115493774,0.5558819770812988,3149833,1490072,2555,2555,1738,
HAPV3,SBSP3,1Year,1ms,kendall,9,0.5217325802851056,12.14260482788086,1.8687548637390137,3754418,2043096,3754418,2043096,5424296,
ABEV3,SMFT3,1Year,1T,kendall,10,0.14231053940940117,9.30034351348877,0.5932924747467041,4486771,1640080,153297,153299,102628,
CYRE3,RDOR3,1Year,1H,spearman,1,0.9258683672355188,6.42168664932251,0.5574901103973389,1990807,2306821,2555,2555,1738,
ABEV3,ELET3,1Year,1T,spearman,6,0.20294105270714094,11.196997880935669,0.5959267616271973,4486771,3059464,153297,153297,102517,
CMIG4,RENT3,1Year,1ms,pearson,1,-0.0790825897379971,11.180495500564575,0.14378786087036133,3095210,3085387,3095210,3085387,6131843,
VAMO3,VIVA3,1Year,1D,kendall,9,,4.84298038482666,,1938079,1574493,0,0,0,
ASAI3,CSNA3,1Year,1H,pearson,5,-0.49310707006091675,6.674411296844482,0.0014955997467041016,3149833,1753841,2555,2555,1738,
BBDC3,SMFT3,1Year,1ms,pearson,7,0.9017028260560043,5.992332220077515,0.07389354705810547,1739149,1640080,1739149,1640080,3366018,
CSNA3,TOTS3,1Year,1ms,spearman,8,-0.466414606504806,7.215779542922974,1.1745412349700928,1753841,1702042,1753841,1702042,3433915,
ENGI11,VAMO3,1Year,1S,spearman,5,-0.583007943414366,13.327965259552002,0.9071605205535889,1490072,1938079,9197810,9197783,1938223,
CPLE6,CYRE3,1Year,1H,spearman,6,0.90442693321682,7.406036138534546,0.5777952671051025,3024581,1990807,2555,2555,1738,
PETR4,WEGE3,1Year,1D,kendall,9,,11.479497194290161,,5783697,2589087,0,0,0,
POMO4,USIM5,1Year,1H,kendall,7,-0.4064518889520754,6.243300199508667,0.5534970760345459,2603793,1588823,2555,2170,1509,
ENEV3,WEGE3,1Year,1D,spearman,7,,6.466800928115845,,2096459,2589087,0,0,0,
