instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
B3SA3,PETR3,1Year,1S,pearson,6,-0.6905786881324721,16.356722116470337,0.0472719669342041,4557170,2313747,7811393,7811392,2742092,
HYPE3,VALE3,1Year,1T,kendall,8,0.002094092487998904,8.789583683013916,0.6614704132080078,1465959,4355401,153293,130190,88956,
ABEV3,ITUB4,1Year,1D,pearson,3,0.16789427834692047,12.465320825576782,0.001154184341430664,4486771,4553920,261,222,216,
CSNA3,ITUB4,1Year,1T,pearson,10,-0.2613136169179563,8.534269571304321,0.0023145675659179688,1753841,4553920,153293,130190,88873,
BRAV3,HYPE3,1Year,1D,kendall,3,-0.2667726231571792,5.929303407669067,0.5527174472808838,2211028,1465959,261,261,249,
EQTL3,GGBR4,1Year,1ms,spearman,9,-0.3971777557614607,12.106098890304565,1.700782060623169,2934890,2814658,2934890,2814658,5684366,
VIVA3,VIVT3,1Year,1D,spearman,9,-0.4155380924064872,5.606881141662598,0.561455249786377,1574493,2100935,261,261,249,
BBDC4,USIM5,1Year,1D,pearson,4,-0.6027508268250524,8.508456468582153,0.0009264945983886719,4490500,1588823,222,222,216,
ALOS3,SUZB3,1Year,1T,kendall,4,-0.5475637604273265,5.9016218185424805,0.57741379737854,1494794,2157162,153297,130197,89012,
MRVE3,VIVT3,1Year,1ms,spearman,8,-0.2268565356862894,8.107068061828613,1.2703254222869873,1758559,2100935,1758559,2100935,3848532,
BBDC3,VBBR3,1Year,1ms,pearson,9,0.854624987969547,7.97055983543396,0.10572385787963867,1739149,2642833,1739149,2642833,4330135,
CMIN3,CYRE3,1Year,1D,pearson,4,0.2242408579613392,4.769454479217529,0.0020499229431152344,1433386,1990807,261,261,249,
LREN3,USIM5,1Year,1S,pearson,3,-0.6236377081175295,13.633201122283936,0.04078936576843262,3132116,1588823,9197573,7811775,2205009,
HYPE3,VIVA3,1Year,1S,spearman,5,0.6915912718078954,12.659181833267212,0.8517322540283203,1465959,1574493,9197562,9197570,1626841,
TOTS3,VIVA3,1Year,1D,spearman,3,0.7952033188152072,5.09138822555542,0.5590353012084961,1702042,1574493,261,261,249,
BRAV3,CYRE3,1Year,1ms,pearson,8,-0.6836027629028991,7.503715515136719,0.09045720100402832,2211028,1990807,2211028,1990807,4170155,
ASAI3,CMIN3,1Year,1H,pearson,5,-0.18996435403105,6.242730617523193,0.0008823871612548828,3149833,1433386,2555,2555,1738,
HYPE3,PRIO3,1Year,1H,pearson,8,0.27855622522427986,5.477225065231323,0.0009284019470214844,1465959,2583061,2555,2170,1509,
SMFT3,VBBR3,1Year,1D,spearman,8,0.7575670716639312,6.396100997924805,0.5557308197021484,1640080,2642833,261,261,249,
CSAN3,SBSP3,1Year,1S,spearman,7,-0.4226122041465392,14.360363006591797,0.9506542682647705,2531894,2043096,7811390,9197778,2042896,
BBDC3,VAMO3,1Year,1ms,kendall,7,-0.3386361940075506,7.68220591545105,1.2400696277618408,1739149,1938079,1739149,1938079,3656115,
