instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
CPLE6,ITUB4,1Year,1T,pearson,3,0.9084009092141899,12.806013345718384,0.002663135528564453,3024581,4553920,153297,130190,88964,
TIMS3,USIM5,1Year,1T,kendall,4,-0.32631850446062277,6.963766813278198,0.788637638092041,2024239,1588823,153297,130197,88942,
HYPE3,ITUB4,1Year,1S,spearman,7,0.6392601397794815,20.098167419433594,1.204134225845337,1465959,4553920,9197562,7811389,2457547,
CMIN3,VBBR3,1Year,1ms,kendall,4,-0.08466501079103415,10.157214641571045,1.6523096561431885,1433386,2642833,1433386,2642833,4032847,
BBDC4,UGPA3,1Year,1H,spearman,4,0.7585629272566045,11.47965145111084,0.7025179862976074,4490500,1794061,2170,2170,1509,
BBAS3,HYPE3,1Year,1H,kendall,3,-0.27984826888217956,12.420044183731079,0.6716475486755371,4920259,1465959,2170,2555,1509,
COGN3,ITUB4,1Year,1T,spearman,1,0.903422935120898,12.906396389007568,0.7139878273010254,2640596,4553920,130197,130190,88912,
CPLE6,RADL3,1Year,1D,kendall,9,,9.779786109924316,,3024581,2764740,0,0,0,
COGN3,TOTS3,1Year,1S,spearman,5,0.8367511243388874,17.204949140548706,1.1295082569122314,2640596,1702042,7811757,9197563,2189365,
RAIZ4,RDOR3,1Year,1S,spearman,9,-0.7695676523232912,18.163409948349,1.1694934368133545,2328423,2306821,9197779,9197570,2321731,
POMO4,VIVT3,1Year,1S,pearson,1,-0.028616553181799353,17.392809867858887,0.048380374908447266,2603793,2100935,9197778,9197775,2357851,
B3SA3,RADL3,1Year,1ms,kendall,9,-0.4983335033993876,18.546628713607788,2.5569510459899902,4557170,2764740,4557170,2764740,6929615,
BEEF3,SUZB3,1Year,1ms,kendall,5,-0.4561242579493814,10.359846353530884,1.6785719394683838,1994111,2157162,1994111,2157162,3968864,
PETR3,VAMO3,1Year,1ms,kendall,5,0.20747798126110428,10.582706928253174,1.6935181617736816,2313747,1938079,2313747,1938079,3981824,
HYPE3,MGLU3,1Year,1D,pearson,6,,6.371062994003296,,1465959,2337273,0,0,0,
GGBR4,VBBR3,1Year,1S,pearson,5,0.20918151412558866,18.385484218597412,0.05203866958618164,2814658,2642833,9197570,9197570,2524971,
ITUB4,UGPA3,1Year,1S,pearson,9,0.6854905551099586,18.95598864555359,0.05264735221862793,4553920,1794061,7811389,7811515,2559581,
MULT3,WEGE3,1Year,1H,spearman,4,-0.7880150832990589,7.8630900382995605,0.679978609085083,1704767,2589087,2555,2170,1509,
POMO4,VALE3,1Year,1T,spearman,3,0.3474076955528815,12.508108854293823,0.7167580127716064,2603793,4355401,153297,130190,88912,
PRIO3,TOTS3,1Year,1D,pearson,3,,7.202347755432129,,2583061,1702042,0,0,0,
BBDC3,ENGI11,1Year,1D,pearson,5,,5.568133354187012,,1739149,1490072,0,0,0,
