instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
CYRE3,POMO4,1Year,1T,kendall,9,0.16372231879280147,6.993108749389648,0.6596555709838867,1990807,2603793,153297,153297,102561,
BBSE3,VAMO3,1Year,1S,kendall,1,0.3577186123705966,14.239606618881226,0.9654226303100586,2027918,1938079,9197816,9197783,2210681,
BBAS3,MGLU3,1Year,1T,spearman,8,0.26185501793498206,10.682141304016113,0.5713310241699219,4920259,2337273,130197,153293,88876,
ALOS3,BBDC3,1Year,1S,spearman,8,0.9675695865585404,13.09206247329712,0.8643782138824463,1494794,1739149,9197810,9197783,1705092,
EQTL3,RADL3,1Year,1ms,spearman,7,-0.5998539385326884,12.094424486160278,1.6816978454589844,2934890,2764740,2934890,2764740,5625464,
CMIG4,CXSE3,1Year,1ms,kendall,4,0.04563830211182431,10.104658603668213,1.5860347747802734,3095210,1692802,3095210,1692802,4746737,
B3SA3,KLBN11,1Year,1H,spearman,3,-0.3528025848721337,9.324798107147217,0.5687117576599121,4557170,1706371,2170,2555,1509,
SMFT3,UGPA3,1Year,1T,spearman,7,0.7418851968323995,5.412044286727905,0.5641088485717773,1640080,1794061,153299,130192,88935,
RADL3,RAIL3,1Year,1S,kendall,9,0.24418298889776158,17.033265590667725,1.1082842350006104,2764740,3015133,9197565,9197569,2682548,
MRVE3,SBSP3,1Year,1H,pearson,1,0.7328355767307094,5.248198986053467,0.0015254020690917969,1758559,2043096,2555,2555,1738,
CPLE6,USIM5,1Year,1D,spearman,10,,6.305171728134155,,3024581,1588823,0,0,0,
B3SA3,ENEV3,1Year,1D,spearman,6,,9.308639287948608,,4557170,2096459,0,0,0,
ITSA4,VALE3,1Year,1H,kendall,3,0.28651719703717904,11.781273365020752,0.5633044242858887,3800661,4355401,2170,2170,1509,
SUZB3,TIMS3,1Year,1ms,spearman,5,-0.7109205438418578,8.368913888931274,1.241743803024292,2157162,2024239,2157162,2024239,3868785,
BBAS3,MRVE3,1Year,1D,spearman,5,,9.266698360443115,,4920259,1758559,0,0,0,
CMIG4,MULT3,1Year,1S,spearman,3,0.03751901052792559,15.26928186416626,1.0002694129943848,3095210,1704767,9197779,9197819,2472424,
RAIZ4,RENT3,1Year,1T,spearman,9,-0.05880849865674244,8.018294095993042,0.5733242034912109,2328423,3085387,153297,153297,102499,
GGBR4,SMFT3,1Year,1T,spearman,3,-0.3001106195304666,6.840435266494751,0.5830368995666504,2814658,1640080,153293,153299,102614,
CMIG4,RDOR3,1Year,1S,kendall,4,-0.01218746085676512,16.05847454071045,1.0666697025299072,3095210,2306821,9197779,9197570,2613309,
CSNA3,GGBR4,1Year,1H,spearman,3,0.3960092658373606,7.133497714996338,0.5750386714935303,1753841,2814658,2555,2555,1738,
CYRE3,MULT3,1Year,1H,kendall,6,0.7351302736453673,5.830697774887085,0.5893292427062988,1990807,1704767,2555,2555,1738,
