instrument1,instrument2,period,frequency,correlation_method,repeat,correlation_value,execution_time_seconds,correlation_time_seconds,len1_raw,len2_raw,len1_resampled,len2_resampled,len_corr_matrix,weighted_correlation
PETR3,VIVA3,1Year,1ms,spearman,4,-0.6571822338753988,7.897907495498657,1.308837890625,2313747,1574493,2313747,1574493,3661301,
ASAI3,VIVA3,1Year,1H,kendall,8,0.42489204792075064,7.545711040496826,0.5798730850219727,3149833,1574493,2555,2555,1738,
POMO4,RADL3,1Year,1D,spearman,1,0.027786398512168388,8.186710834503174,0.6016800403594971,2603793,2764740,261,261,249,
EQTL3,VALE3,1Year,1S,spearman,9,0.277939379277067,18.14633274078369,1.0351994037628174,2934890,4355401,9197573,7811393,2607246,
BBSE3,ITUB4,1Year,1S,kendall,9,-0.4535647243006109,17.07903289794922,1.1015992164611816,2027918,4553920,9197816,7811389,2624826,
ASAI3,MRVE3,1Year,1T,kendall,8,0.34433867401915313,7.36828088760376,0.5777409076690674,3149833,1758559,153297,153297,102393,
BBDC4,RENT3,1Year,1H,kendall,6,0.463695405748024,11.137789487838745,0.5825257301330566,4490500,3085387,2170,2555,1509,
PRIO3,TOTS3,1Year,1S,pearson,1,-0.024242597985244245,12.98800802230835,0.033385276794433594,2583061,1702042,7811768,9197563,1919251,
CXSE3,UGPA3,1Year,1T,spearman,5,0.07250954070559723,5.50030255317688,0.5787971019744873,1692802,1794061,153297,130192,89016,
PRIO3,VALE3,1Year,1ms,spearman,2,-0.2380559474982224,14.473517656326294,1.9886202812194824,2583061,4355401,2583061,4355401,6892273,
MGLU3,USIM5,1Year,1T,kendall,1,0.1430569228471878,6.036304235458374,0.5793077945709229,2337273,1588823,153293,130197,88850,
BEEF3,VBBR3,1Year,1D,spearman,6,0.5187269782975108,6.863072633743286,0.5684432983398438,1994111,2642833,261,261,248,
ENGI11,MULT3,1Year,1D,kendall,10,0.8331442494154576,4.941488981246948,0.5580301284790039,1490072,1704767,261,261,249,
ASAI3,SBSP3,1Year,1S,pearson,5,0.7654095452990891,14.808037757873535,0.043132781982421875,3149833,2043096,9197785,9197778,2440512,
ASAI3,CMIN3,1Year,1S,spearman,1,-0.26068008103546353,14.868194580078125,0.9700417518615723,3149833,1433386,9197785,9197565,2366208,
